condition,mask_iou,waist,hip,chest
clean,1.0,2.0051217195388182,1.5343151745054648,2.2759109385196266
erode k=1,0.973421695286618,1.950427743474382,1.4687735879841874,2.231930636887205
erode k=2,0.9399841603755082,1.8930139671564241,1.4734364426285314,2.2419854733479694
erode k=3,0.9135383641036231,1.8897122532831259,1.5301979547767959,2.265572145268622
dilate k=1,0.9740894229064819,2.1377025365054068,1.6897639270850657,2.243363022429307
dilate k=2,0.9433080537075345,2.3888890805460448,1.9466883969584516,2.220203365795605
dilate k=3,0.920324965668941,2.704558117084998,2.236990983190058,2.1823303559108225
boundary k=1,0.9962121383565314,2.0205352361112934,1.5738591455963942,2.279630818644988
boundary k=2,0.9941388196606996,2.0285259591810547,1.5652741960340002,2.2790269004776063
boundary k=3,0.99176962402698,2.029637326708913,1.576194328878463,2.2595140202574724
soft k=1,0.9744320805910445,1.9755966610520395,1.4891553880248385,2.258023892120291
soft k=2,0.8994800014863255,1.9262874096652955,1.5028705672142382,2.238251503879744
soft k=3,0.7618052364552125,2.5991394702618806,2.4563706569280757,2.6812041256583354
